SESSION; TIME;RPM;THROT;L U SP;L D SP;TAR LB;TRAC %;SLIP%;
443 ;0:00.34 ;3544 ;0 ;1.6 ;17.2 ;0.850 ;0 ;975 ;
443 ;0:00.35 ;3509 ;0 ;1.6 ;17.0 ;0.850 ;0 ;962 ;
443 ;0:00.36 ;3523 ;0 ;1.6 ;17.1 ;0.850 ;0 ;968 ;
443 ;0:00.37 ;3530 ;0 ;1.6 ;17.1 ;0.850 ;0 ;968 ;
443 ;0:00.38 ;3550 ;0 ;1.6 ;17.2 ;0.850 ;0 ;975 ;
443 ;0:00.39 ;3576 ;0 ;1.6 ;17.3 ;0.850 ;0 ;981 ;
443 ;0:00.40 ;3567 ;0 ;1.6 ;17.3 ;0.850 ;0 ;981 ;
443 ;0:00.41 ;3531 ;0 ;1.6 ;17.1 ;0.850 ;0 ;968 ;
443 ;0:00.42 ;3496 ;0 ;1.6 ;16.9 ;0.850 ;0 ;956 ;
443 ;0:00.43 ;3499 ;0 ;1.6 ;17.0 ;0.850 ;0 ;962 ;
443 ;0:00.44 ;3498 ;0 ;1.6 ;17.0 ;0.850 ;0 ;962 ;
443 ;0:00.45 ;3535 ;0 ;1.6 ;17.1 ;0.850 ;0 ;968 ;
443 ;0:00.46 ;3537 ;0 ;1.6 ;17.1 ;0.850 ;0 ;968 ;
443 ;0:00.47 ;3518 ;0 ;1.6 ;17.1 ;0.850 ;0 ;968 ;
443 ;0:00.48 ;3501 ;0 ;1.6 ;17.0 ;0.850 ;0 ;962 ;
443 ;0:00.49 ;3490 ;0 ;1.6 ;16.9 ;0.850 ;0 ;956 ;
443 ;0:00.50 ;3485 ;0 ;1.6 ;16.9 ;0.850 ;0 ;956 ;
443 ;0:00.51 ;3521 ;0 ;1.6 ;17.1 ;0.850 ;0 ;968 ;
443 ;0:00.52 ;3510 ;0 ;1.6 ;17.0 ;0.850 ;0 ;962 ;
443 ;0:00.53 ;3515 ;0 ;1.8 ;17.0 ;0.850 ;0 ;844 ;
443 ;0:00.54 ;3508 ;0 ;1.8 ;17.0 ;0.850 ;0 ;844 ;
443 ;0:00.55 ;3500 ;0 ;1.8 ;17.0 ;0.850 ;0 ;844 ;
443 ;0:00.56 ;3485 ;0 ;1.8 ;16.9 ;0.850 ;0 ;838 ;
443 ;0:00.57 ;3498 ;0 ;1.8 ;17.0 ;0.850 ;0 ;844 ;
443 ;0:00.58 ;3521 ;0 ;1.8 ;17.1 ;0.850 ;0 ;850 ;
443 ;0:00.59 ;3516 ;0 ;1.8 ;17.0 ;0.850 ;0 ;844 ;
443 ;0:00.60 ;3523 ;0 ;1.8 ;17.1 ;0.850 ;0 ;850 ;
443 ;0:00.61 ;3513 ;0 ;1.8 ;17.0 ;0.850 ;0 ;844 ;
443 ;0:00.62 ;3515 ;0 ;1.8 ;17.0 ;0.850 ;0 ;844 ;
443 ;0:00.63 ;3502 ;0 ;1.8 ;17.0 ;0.850 ;0 ;844 ;
443 ;0:00.64 ;3493 ;0 ;1.8 ;16.9 ;0.850 ;0 ;838 ;
443 ;0:00.65 ;3465 ;0 ;1.8 ;16.8 ;0.850 ;0 ;833 ;
443 ;0:00.66 ;3430 ;0 ;1.8 ;16.6 ;0.850 ;0 ;822 ;
443 ;0:00.67 ;3448 ;0 ;1.8 ;16.7 ;0.850 ;0 ;827 ;
443 ;0:00.68 ;3463 ;0 ;1.8 ;16.8 ;0.850 ;0 ;833 ;
443 ;0:00.69 ;3503 ;0 ;1.8 ;17.0 ;0.850 ;0 ;844 ;
443 ;0:00.70 ;3489 ;0 ;1.8 ;16.9 ;0.850 ;0 ;838 ;
443 ;0:00.71 ;3478 ;0 ;2.1 ;16.9 ;0.850 ;0 ;704 ;
443 ;0:00.72 ;3442 ;0 ;2.1 ;16.7 ;0.850 ;0 ;695 ;
443 ;0:00.73 ;3392 ;0 ;2.1 ;16.4 ;0.850 ;0 ;680 ;
443 ;0:00.74 ;3413 ;0 ;2.1 ;16.5 ;0.850 ;0 ;685 ;
443 ;0:00.75 ;3461 ;0 ;2.1 ;16.8 ;0.850 ;0 ;700 ;
443 ;0:00.76 ;3474 ;0 ;2.1 ;16.8 ;0.850 ;0 ;700 ;
443 ;0:00.77 ;3457 ;0 ;2.1 ;16.8 ;0.850 ;0 ;700 ;
443 ;0:00.78 ;3447 ;0 ;2.1 ;16.7 ;0.850 ;0 ;695 ;
443 ;0:00.79 ;3448 ;0 ;2.1 ;16.7 ;0.850 ;0 ;695 ;
443 ;0:00.80 ;3434 ;0 ;2.1 ;16.6 ;0.850 ;0 ;690 ;
443 ;0:00.81 ;3456 ;0 ;2.1 ;16.8 ;0.850 ;0 ;700 ;
443 ;0:00.82 ;3454 ;0 ;2.1 ;16.7 ;0.850 ;0 ;695 ;
443 ;0:00.83 ;3451 ;0 ;2.1 ;16.7 ;0.850 ;0 ;695 ;
443 ;0:00.84 ;3429 ;0 ;2.1 ;16.6 ;0.850 ;0 ;690 ;
443 ;0:00.85 ;3432 ;0 ;2.1 ;16.6 ;0.850 ;0 ;690 ;
443 ;0:00.86 ;3425 ;0 ;2.1 ;16.6 ;0.850 ;0 ;690 ;
443 ;0:00.87 ;3381 ;0 ;2.6 ;16.4 ;0.850 ;0 ;530 ;
443 ;0:00.88 ;3391 ;0 ;2.6 ;16.4 ;0.850 ;0 ;530 ;
443 ;0:00.89 ;3387 ;0 ;2.6 ;16.4 ;0.850 ;0 ;530 ;
443 ;0:00.90 ;3407 ;0 ;2.6 ;16.5 ;0.850 ;0 ;534 ;
443 ;0:00.91 ;3391 ;0 ;2.6 ;16.4 ;0.850 ;0 ;530 ;
443 ;0:00.92 ;3369 ;0 ;2.6 ;16.3 ;0.850 ;0 ;526 ;
443 ;0:00.93 ;3373 ;0 ;2.6 ;16.3 ;0.850 ;0 ;526 ;
443 ;0:00.94 ;3356 ;0 ;2.6 ;16.3 ;0.850 ;0 ;526 ;
443 ;0:00.95 ;3369 ;0 ;2.6 ;16.3 ;0.850 ;0 ;526 ;
443 ;0:00.96 ;3389 ;0 ;2.6 ;16.4 ;0.850 ;0 ;530 ;
443 ;0:00.97 ;3353 ;0 ;2.6 ;16.3 ;0.850 ;0 ;526 ;
443 ;0:00.98 ;3360 ;0 ;2.6 ;16.3 ;0.850 ;0 ;526 ;
443 ;0:00.99 ;3333 ;0 ;2.6 ;16.2 ;0.850 ;0 ;523 ;
443 ;0:01.00 ;3342 ;0 ;2.6 ;16.2 ;0.850 ;0 ;523 ;
443 ;0:01.01 ;3347 ;0 ;3.1 ;16.2 ;0.850 ;0 ;422 ;
443 ;0:01.02 ;3334 ;0 ;3.1 ;16.2 ;0.850 ;0 ;422 ;
443 ;0:01.03 ;3332 ;0 ;3.1 ;16.2 ;0.850 ;0 ;422 ;
443 ;0:01.04 ;3307 ;0 ;3.1 ;16.0 ;0.850 ;0 ;416 ;
443 ;0:01.05 ;3309 ;0 ;3.1 ;16.0 ;0.850 ;0 ;416 ;
443 ;0:01.06 ;3291 ;0 ;3.1 ;16.0 ;0.850 ;0 ;416 ;
443 ;0:01.07 ;3286 ;0 ;3.1 ;15.9 ;0.850 ;0 ;412 ;
443 ;0:01.08 ;3264 ;0 ;3.1 ;15.8 ;0.850 ;0 ;409 ;
443 ;0:01.09 ;3222 ;0 ;3.1 ;15.6 ;0.850 ;0 ;403 ;
443 ;0:01.10 ;3221 ;0 ;3.1 ;15.6 ;0.850 ;0 ;403 ;
443 ;0:01.11 ;3207 ;0 ;3.1 ;15.5 ;0.850 ;0 ;400 ;
443 ;0:01.12 ;3198 ;0 ;3.5 ;15.5 ;0.850 ;0 ;342 ;
443 ;0:01.13 ;3225 ;0 ;3.5 ;15.6 ;0.850 ;0 ;345 ;
443 ;0:01.14 ;3235 ;0 ;3.5 ;15.7 ;0.850 ;0 ;348 ;
443 ;0:01.15 ;3247 ;0 ;3.5 ;15.7 ;0.850 ;0 ;348 ;
443 ;0:01.16 ;3222 ;0 ;3.5 ;15.6 ;0.850 ;0 ;345 ;
443 ;0:01.17 ;3175 ;0 ;3.5 ;15.3 ;0.850 ;0 ;337 ;
443 ;0:01.18 ;3116 ;0 ;3.5 ;15.1 ;0.850 ;0 ;331 ;
443 ;0:01.19 ;3108 ;0 ;3.5 ;15.1 ;0.850 ;0 ;331 ;
443 ;0:01.20 ;3141 ;0 ;3.5 ;15.2 ;0.850 ;0 ;334 ;
443 ;0:01.21 ;3169 ;0 ;3.8 ;15.4 ;0.850 ;0 ;305 ;
443 ;0:01.22 ;3189 ;0 ;3.8 ;15.5 ;0.850 ;0 ;307 ;
443 ;0:01.23 ;3165 ;0 ;3.8 ;15.3 ;0.850 ;0 ;302 ;
443 ;0:01.24 ;3127 ;0 ;3.8 ;15.2 ;0.850 ;0 ;300 ;
443 ;0:01.25 ;3085 ;0 ;3.8 ;14.9 ;0.850 ;0 ;292 ;
443 ;0:01.26 ;3005 ;0 ;3.8 ;14.6 ;0.850 ;0 ;284 ;
443 ;0:01.27 ;2960 ;0 ;3.8 ;14.3 ;0.850 ;0 ;276 ;
443 ;0:01.28 ;2998 ;0 ;3.8 ;14.5 ;0.850 ;0 ;281 ;
443 ;0:01.29 ;3040 ;0 ;4.2 ;14.7 ;0.850 ;0 ;250 ;
443 ;0:01.30 ;3078 ;0 ;4.2 ;14.9 ;0.850 ;0 ;254 ;
443 ;0:01.31 ;3050 ;0 ;4.2 ;14.8 ;0.850 ;0 ;252 ;
443 ;0:01.32 ;2992 ;0 ;4.2 ;14.5 ;0.850 ;0 ;245 ;
443 ;0:01.33 ;2947 ;0 ;4.2 ;14.3 ;0.850 ;0 ;240 ;
443 ;0:01.34 ;2940 ;0 ;4.2 ;14.2 ;0.850 ;0 ;238 ;
443 ;0:01.35 ;2968 ;0 ;4.2 ;14.4 ;0.850 ;0 ;242 ;
443 ;0:01.36 ;3021 ;0 ;4.2 ;14.6 ;0.850 ;0 ;247 ;
443 ;0:01.37 ;3020 ;0 ;4.7 ;14.6 ;0.850 ;0 ;210 ;
443 ;0:01.38 ;2989 ;0 ;4.7 ;14.5 ;0.850 ;0 ;208 ;
443 ;0:01.39 ;2940 ;0 ;4.7 ;14.2 ;0.850 ;0 ;202 ;
443 ;0:01.40 ;2906 ;0 ;4.7 ;14.1 ;0.850 ;0 ;200 ;
443 ;0:01.41 ;2897 ;0 ;4.7 ;14.0 ;0.850 ;0 ;197 ;
443 ;0:01.42 ;2908 ;0 ;4.7 ;14.1 ;0.850 ;0 ;200 ;
443 ;0:01.43 ;2921 ;0 ;4.7 ;14.2 ;0.850 ;0 ;202 ;
443 ;0:01.44 ;2942 ;0 ;5.1 ;14.3 ;0.850 ;0 ;180 ;
443 ;0:01.45 ;2892 ;0 ;5.1 ;14.0 ;0.850 ;0 ;174 ;
443 ;0:01.46 ;2851 ;0 ;5.1 ;13.8 ;0.850 ;0 ;170 ;
443 ;0:01.47 ;2819 ;0 ;5.1 ;13.7 ;0.850 ;0 ;168 ;
443 ;0:01.48 ;2845 ;0 ;5.1 ;13.8 ;0.850 ;0 ;170 ;
443 ;0:01.49 ;2862 ;0 ;5.1 ;13.9 ;0.850 ;0 ;172 ;
443 ;0:01.50 ;2859 ;0 ;5.4 ;13.9 ;0.850 ;0 ;157 ;
443 ;0:01.51 ;2859 ;0 ;5.4 ;13.9 ;0.850 ;0 ;157 ;
443 ;0:01.52 ;2859 ;0 ;5.4 ;13.7 ;0.850 ;0 ;153 ;
443 ;0:01.53 ;2838 ;0 ;5.4 ;13.7 ;0.850 ;0 ;153 ;
443 ;0:01.54 ;2820 ;0 ;5.4 ;13.7 ;0.850 ;0 ;153 ;
443 ;0:01.55 ;2822 ;0 ;6.1 ;13.7 ;0.850 ;0 ;124 ;
443 ;0:01.56 ;2811 ;0 ;6.1 ;13.6 ;0.850 ;0 ;122 ;
443 ;0:01.57 ;2843 ;0 ;6.1 ;13.8 ;0.850 ;0 ;126 ;
443 ;0:01.58 ;2796 ;0 ;6.1 ;13.5 ;0.850 ;0 ;121 ;
443 ;0:01.59 ;2734 ;0 ;6.1 ;13.2 ;0.850 ;0 ;116 ;
443 ;0:01.60 ;2715 ;0 ;6.1 ;13.2 ;0.850 ;0 ;116 ;
443 ;0:01.61 ;2754 ;0 ;6.0 ;13.3 ;0.850 ;0 ;121 ;
443 ;0:01.62 ;2787 ;0 ;6.0 ;13.5 ;0.850 ;0 ;125 ;
443 ;0:01.63 ;2810 ;0 ;6.0 ;13.6 ;0.850 ;0 ;126 ;
443 ;0:01.64 ;2750 ;0 ;6.0 ;13.3 ;0.850 ;0 ;121 ;
443 ;0:01.65 ;2711 ;0 ;6.0 ;13.1 ;0.850 ;0 ;118 ;
443 ;0:01.66 ;2687 ;0 ;6.6 ;13.0 ;0.850 ;0 ;96 ;
443 ;0:01.67 ;2687 ;0 ;6.6 ;13.0 ;0.850 ;0 ;96 ;
443 ;0:01.68 ;2667 ;0 ;6.6 ;12.9 ;0.850 ;0 ;95 ;
443 ;0:01.69 ;2672 ;0 ;6.6 ;12.9 ;0.850 ;0 ;95 ;
443 ;0:01.70 ;2713 ;0 ;6.6 ;13.1 ;0.850 ;0 ;98 ;
443 ;0:01.71 ;2719 ;0 ;7.1 ;13.2 ;0.850 ;0 ;85 ;
443 ;0:01.72 ;2712 ;0 ;7.1 ;13.1 ;0.850 ;0 ;84 ;
443 ;0:01.73 ;2653 ;0 ;7.1 ;12.8 ;0.850 ;0 ;80 ;
443 ;0:01.74 ;2648 ;0 ;7.1 ;12.8 ;0.850 ;0 ;80 ;
443 ;0:01.75 ;2609 ;0 ;7.0 ;12.6 ;0.850 ;0 ;80 ;
443 ;0:01.76 ;2609 ;0 ;7.0 ;12.4 ;0.850 ;0 ;77 ;
443 ;0:01.77 ;2559 ;0 ;7.0 ;12.4 ;0.850 ;0 ;77 ;
443 ;0:01.78 ;2557 ;0 ;7.0 ;12.4 ;0.850 ;0 ;77 ;
443 ;0:01.79 ;2573 ;0 ;7.7 ;12.5 ;0.850 ;0 ;62 ;
443 ;0:01.80 ;2561 ;0 ;7.7 ;12.4 ;0.850 ;0 ;61 ;
443 ;0:01.81 ;2539 ;0 ;7.7 ;12.3 ;0.850 ;0 ;59 ;
443 ;0:01.82 ;2469 ;0 ;7.7 ;12.0 ;0.850 ;0 ;55 ;
443 ;0:01.83 ;2469 ;0 ;7.9 ;11.9 ;0.850 ;0 ;50 ;
443 ;0:01.84 ;2460 ;0 ;7.9 ;11.9 ;0.850 ;0 ;50 ;
443 ;0:01.85 ;2414 ;0 ;7.9 ;11.7 ;0.850 ;0 ;48 ;
443 ;0:01.86 ;2437 ;0 ;7.9 ;11.8 ;0.850 ;0 ;49 ;
443 ;0:01.87 ;2432 ;0 ;7.9 ;11.8 ;0.850 ;0 ;49 ;
443 ;0:01.88 ;2406 ;0 ;7.9 ;11.6 ;0.850 ;0 ;46 ;
443 ;0:01.89 ;2406 ;0 ;7.9 ;11.6 ;0.850 ;0 ;46 ;
443 ;0:01.90 ;2355 ;0 ;7.9 ;11.4 ;0.850 ;0 ;44 ;
443 ;0:01.91 ;2269 ;0 ;8.4 ;11.0 ;0.850 ;0 ;30 ;
443 ;0:01.92 ;2234 ;0 ;8.4 ;10.8 ;0.850 ;0 ;28 ;
443 ;0:01.93 ;2234 ;0 ;8.4 ;11.1 ;0.850 ;0 ;32 ;
443 ;0:01.94 ;2285 ;0 ;8.4 ;11.1 ;0.850 ;0 ;32 ;
443 ;0:01.95 ;2234 ;0 ;8.4 ;10.8 ;0.850 ;0 ;28 ;
443 ;0:01.96 ;2216 ;0 ;8.4 ;10.7 ;0.850 ;0 ;27 ;
443 ;0:01.97 ;2216 ;0 ;8.4 ;10.5 ;0.850 ;0 ;25 ;
443 ;0:01.98 ;2169 ;0 ;8.4 ;10.5 ;0.850 ;0 ;25 ;
443 ;0:01.99 ;2099 ;0 ;8.4 ;10.2 ;0.850 ;0 ;21 ;
443 ;0:02.00 ;2109 ;0 ;8.4 ;10.2 ;0.850 ;0 ;21 ;
443 ;0:02.01 ;2109 ;0 ;9.0 ;10.2 ;0.850 ;0 ;13 ;
443 ;0:02.02 ;2044 ;0 ;9.0 ;9.9 ;0.850 ;0 ;10 ;
443 ;0:02.03 ;2043 ;0 ;9.0 ;9.9 ;0.850 ;0 ;10 ;
443 ;0:02.04 ;2043 ;0 ;9.0 ;10.1 ;0.850 ;0 ;12 ;
443 ;0:02.05 ;2094 ;0 ;9.0 ;10.1 ;0.850 ;0 ;12 ;
443 ;0:02.06 ;1969 ;0 ;9.0 ;9.5 ;0.850 ;0 ;5 ;
443 ;0:02.07 ;1926 ;0 ;9.0 ;9.3 ;0.850 ;0 ;3 ;
443 ;0:02.08 ;1926 ;0 ;9.4 ;9.3 ;0.850 ;0 ;-1 ;
443 ;0:02.09 ;1883 ;0 ;9.4 ;9.1 ;0.850 ;0 ;-3 ;
443 ;0:02.10 ;1883 ;0 ;9.4 ;9.2 ;0.850 ;0 ;-2 ;
443 ;0:02.11 ;1906 ;0 ;9.8 ;9.2 ;0.850 ;0 ;-6 ;
443 ;0:02.12 ;1966 ;0 ;9.8 ;9.5 ;0.850 ;0 ;-3 ;
443 ;0:02.13 ;1966 ;0 ;9.8 ;9.5 ;0.850 ;0 ;-3 ;
443 ;0:02.14 ;1944 ;0 ;9.7 ;9.4 ;0.850 ;0 ;-3 ;
443 ;0:02.15 ;1967 ;0 ;9.7 ;9.5 ;0.850 ;0 ;-2 ;
443 ;0:02.16 ;1967 ;0 ;9.7 ;9.5 ;0.850 ;0 ;-2 ;
443 ;0:02.17 ;1939 ;0 ;9.8 ;9.4 ;0.850 ;0 ;-4 ;
443 ;0:02.18 ;1882 ;0 ;9.8 ;9.1 ;0.850 ;0 ;-7 ;
443 ;0:02.19 ;1882 ;0 ;9.8 ;9.1 ;0.850 ;0 ;-7 ;
443 ;0:02.20 ;1905 ;0 ;9.8 ;9.2 ;0.850 ;0 ;-6 ;
443 ;0:02.21 ;1879 ;0 ;10.0 ;9.1 ;0.850 ;0 ;-9 ;
443 ;0:02.22 ;1879 ;0 ;10.0 ;9.1 ;0.850 ;0 ;-9 ;
443 ;0:02.23 ;1911 ;0 ;10.0 ;9.2 ;0.850 ;0 ;-8 ;
443 ;0:02.24 ;1911 ;0 ;10.0 ;9.2 ;0.850 ;0 ;-8 ;
443 ;0:02.25 ;1877 ;0 ;10.0 ;9.1 ;0.850 ;0 ;-9 ;
443 ;0:02.26 ;1781 ;0 ;10.1 ;8.6 ;0.850 ;0 ;-14 ;
443 ;0:02.27 ;1781 ;0 ;10.1 ;8.6 ;0.850 ;0 ;-14 ;
443 ;0:02.28 ;1779 ;0 ;10.1 ;8.6 ;0.850 ;0 ;-14 ;
443 ;0:02.29 ;1858 ;0 ;10.8 ;9.0 ;0.850 ;0 ;-16 ;
443 ;0:02.30 ;1858 ;0 ;10.8 ;9.0 ;0.850 ;0 ;-16 ;
443 ;0:02.31 ;1872 ;0 ;10.8 ;9.1 ;0.850 ;0 ;-15 ;
443 ;0:02.32 ;1872 ;0 ;10.2 ;9.1 ;0.850 ;0 ;-10 ;
443 ;0:02.33 ;1907 ;0 ;10.2 ;9.2 ;0.850 ;0 ;-9 ;
443 ;0:02.34 ;1874 ;0 ;10.2 ;9.1 ;0.850 ;0 ;-10 ;
443 ;0:02.35 ;1874 ;0 ;10.8 ;9.1 ;0.850 ;0 ;-15 ;
443 ;0:02.36 ;1831 ;0 ;10.8 ;8.9 ;0.850 ;0 ;-17 ;
443 ;0:02.37 ;1831 ;0 ;10.8 ;8.8 ;0.850 ;0 ;-18 ;
443 ;0:02.38 ;1810 ;0 ;10.8 ;8.8 ;0.850 ;0 ;-18 ;
443 ;0:02.39 ;1806 ;0 ;10.8 ;8.7 ;0.850 ;0 ;-19 ;
443 ;0:02.40 ;1806 ;0 ;10.8 ;8.7 ;0.850 ;0 ;-19 ;
443 ;0:02.41 ;1860 ;0 ;10.8 ;9.0 ;0.850 ;0 ;-16 ;
443 ;0:02.42 ;1860 ;0 ;10.8 ;9.4 ;0.850 ;0 ;-12 ;
443 ;0:02.43 ;1943 ;0 ;11.1 ;9.4 ;0.850 ;0 ;-15 ;
443 ;0:02.44 ;1846 ;0 ;11.1 ;8.9 ;0.850 ;0 ;-19 ;
443 ;0:02.45 ;1846 ;0 ;11.1 ;8.9 ;0.850 ;0 ;-19 ;
443 ;0:02.46 ;1775 ;0 ;11.8 ;8.6 ;0.850 ;0 ;-27 ;
443 ;0:02.47 ;1759 ;0 ;11.8 ;8.5 ;0.850 ;0 ;-27 ;
443 ;0:02.48 ;1759 ;0 ;11.8 ;8.5 ;0.850 ;0 ;-27 ;
443 ;0:02.49 ;1771 ;0 ;10.8 ;8.6 ;0.850 ;0 ;-20 ;
443 ;0:02.50 ;1771 ;0 ;10.8 ;8.6 ;0.850 ;0 ;-20 ;
443 ;0:02.51 ;1817 ;0 ;11.4 ;8.8 ;0.850 ;0 ;-22 ;
443 ;0:02.52 ;1795 ;0 ;11.4 ;8.7 ;0.850 ;0 ;-23 ;
443 ;0:02.53 ;1795 ;0 ;11.4 ;8.7 ;0.850 ;0 ;-23 ;
443 ;0:02.54 ;1801 ;0 ;11.1 ;8.7 ;0.850 ;0 ;-21 ;
443 ;0:02.55 ;1801 ;0 ;11.1 ;8.7 ;0.850 ;0 ;-21 ;
443 ;0:02.56 ;1821 ;0 ;11.3 ;8.8 ;0.850 ;0 ;-22 ;
443 ;0:02.57 ;1696 ;0 ;11.3 ;8.2 ;0.850 ;0 ;-27 ;
443 ;0:02.58 ;1696 ;0 ;11.3 ;8.2 ;0.850 ;0 ;-27 ;
443 ;0:02.59 ;1642 ;0 ;11.7 ;7.9 ;0.850 ;0 ;-32 ;
443 ;0:02.60 ;1642 ;0 ;11.7 ;7.9 ;0.850 ;0 ;-32 ;
443 ;0:02.61 ;1695 ;0 ;11.7 ;8.2 ;0.850 ;0 ;-29 ;
443 ;0:02.62 ;1695 ;0 ;11.6 ;8.2 ;0.850 ;0 ;-29 ;
443 ;0:02.63 ;1782 ;0 ;11.6 ;8.6 ;0.850 ;0 ;-25 ;
443 ;0:02.64 ;1787 ;0 ;11.7 ;8.6 ;0.850 ;0 ;-26 ;
443 ;0:02.65 ;1787 ;0 ;11.7 ;8.6 ;0.850 ;0 ;-26 ;
443 ;0:02.66 ;1695 ;0 ;11.7 ;8.2 ;0.850 ;0 ;-29 ;
443 ;0:02.67 ;1695 ;0 ;12.0 ;8.2 ;0.850 ;0 ;-31 ;
443 ;0:02.68 ;1618 ;0 ;12.0 ;7.8 ;0.850 ;0 ;-35 ;
443 ;0:02.69 ;1679 ;0 ;12.7 ;8.1 ;0.850 ;0 ;-36 ;
443 ;0:02.70 ;1679 ;0 ;12.7 ;8.1 ;0.850 ;0 ;-36 ;
443 ;0:02.71 ;1671 ;0 ;12.7 ;8.1 ;0.850 ;0 ;-36 ;
443 ;0:02.72 ;1671 ;0 ;11.5 ;8.1 ;0.850 ;0 ;-29 ;
443 ;0:02.73 ;1714 ;0 ;11.5 ;8.3 ;0.850 ;0 ;-27 ;
443 ;0:02.74 ;1714 ;0 ;12.9 ;8.3 ;0.850 ;0 ;-35 ;
443 ;0:02.75 ;1695 ;0 ;12.9 ;8.2 ;0.850 ;0 ;-36 ;
443 ;0:02.76 ;1695 ;0 ;11.8 ;8.2 ;0.850 ;0 ;-30 ;
443 ;0:02.77 ;1615 ;0 ;11.8 ;7.8 ;0.850 ;0 ;-33 ;
443 ;0:02.78 ;1588 ;0 ;11.8 ;7.7 ;0.850 ;0 ;-34 ;
443 ;0:02.79 ;1588 ;0 ;13.0 ;7.7 ;0.850 ;0 ;-40 ;
443 ;0:02.80 ;1525 ;0 ;13.0 ;7.4 ;0.850 ;0 ;-43 ;
443 ;0:02.81 ;1525 ;0 ;12.5 ;7.4 ;0.850 ;0 ;-40 ;
443 ;0:02.82 ;1564 ;0 ;12.5 ;7.6 ;0.850 ;0 ;-39 ;
443 ;0:02.83 ;1564 ;0 ;12.6 ;7.6 ;0.850 ;0 ;-39 ;
443 ;0:02.84 ;1648 ;0 ;12.6 ;8.0 ;0.850 ;0 ;-36 ;
443 ;0:02.85 ;1648 ;0 ;12.6 ;8.0 ;0.850 ;0 ;-36 ;
443 ;0:02.86 ;1566 ;0 ;12.7 ;7.6 ;0.850 ;0 ;-40 ;
443 ;0:02.87 ;1566 ;0 ;12.7 ;7.6 ;0.850 ;0 ;-40 ;
